task: baseline
n_epoch: 500
train_patch_size: 512
lr: 0.0002
bs: 1
n_crop_per_img: 8
train_dgain_range: [10, 200]
save_freq: 100
clean_img_dir: /data/feiran/datasets/sid_sony/Sony/long
benchmark_dir: /data2/feiran/datasets/dev_phase_release
n_worker: 16
seed: 0





epoch: 307, train loss: 6.2506e-03, train psnr: 41.68
epoch: 308, train loss: 6.2532e-03, train psnr: 41.71
epoch: 309, train loss: 6.4697e-03, train psnr: 41.68
epoch: 310, train loss: 6.1471e-03, train psnr: 41.78
epoch: 311, train loss: 6.3350e-03, train psnr: 41.60
epoch: 312, train loss: 6.3252e-03, train psnr: 41.68
epoch: 313, train loss: 6.2417e-03, train psnr: 41.86
epoch: 314, train loss: 6.6197e-03, train psnr: 41.37
epoch: 315, train loss: 6.2311e-03, train psnr: 41.76
epoch: 316, train loss: 6.2853e-03, train psnr: 41.76
epoch: 317, train loss: 6.3572e-03, train psnr: 41.72
epoch: 318, train loss: 6.4583e-03, train psnr: 41.57
epoch: 319, train loss: 6.4321e-03, train psnr: 41.44
epoch: 320, train loss: 6.4411e-03, train psnr: 41.59
epoch: 321, train loss: 6.0579e-03, train psnr: 42.03
epoch: 322, train loss: 6.3418e-03, train psnr: 41.71
epoch: 323, train loss: 6.4349e-03, train psnr: 41.67
epoch: 324, train loss: 6.2877e-03, train psnr: 41.70
epoch: 325, train loss: 6.1961e-03, train psnr: 41.83
epoch: 326, train loss: 6.2986e-03, train psnr: 41.84
epoch: 327, train loss: 6.4820e-03, train psnr: 41.40
epoch: 328, train loss: 6.3988e-03, train psnr: 41.51
epoch: 329, train loss: 6.3412e-03, train psnr: 41.67
epoch: 330, train loss: 6.3697e-03, train psnr: 41.53
epoch: 331, train loss: 6.4438e-03, train psnr: 41.48
epoch: 332, train loss: 6.2482e-03, train psnr: 41.78
epoch: 333, train loss: 6.3354e-03, train psnr: 41.76
epoch: 334, train loss: 6.4491e-03, train psnr: 41.48
epoch: 335, train loss: 6.3407e-03, train psnr: 41.53
epoch: 336, train loss: 6.2700e-03, train psnr: 41.72
epoch: 337, train loss: 6.2183e-03, train psnr: 41.85
epoch: 338, train loss: 6.3092e-03, train psnr: 41.84
epoch: 339, train loss: 6.2260e-03, train psnr: 41.85
epoch: 340, train loss: 6.2841e-03, train psnr: 41.78
epoch: 341, train loss: 6.5312e-03, train psnr: 41.56
epoch: 342, train loss: 6.3899e-03, train psnr: 41.68
epoch: 343, train loss: 6.2845e-03, train psnr: 41.89
epoch: 344, train loss: 6.2755e-03, train psnr: 41.82
epoch: 345, train loss: 6.4486e-03, train psnr: 41.49
epoch: 346, train loss: 6.2955e-03, train psnr: 41.74
